bank,swiftcode
BANCO INDUSTRIAL DE VENEZUELA,INDSUS33XXX
CM - CIC BANQUES,CMCIFRPPCOR
ARAB BANKING CORPORATION EGYPT,EAABEGCX015
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM009
BGC SHOKEN KAISHA LIMITED,CFILJPJTXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX321
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM006
UNION NATIONAL BANK-EGYPT S.A.E.,ALECEGALXXX
BNP PARIBAS ARBITRAGE,BNABFRPPPRE
NATIXIS,CCBPFRPP930
BANK OF TAIWAN  TOKYO BRANCH,BKTWJPJTXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44C2L
CAISSE D'EPARGNE NORD FRANCE EUROPE,CEPAFRPP627
BANK RESO CREDIT,RETLRUMMXXX
CENTRAL BANK OF RUSSIAN FEDERATION,CBRFRUMMXXX
BANCO DE SABADELL  S.A.,BSABUS3XXXX
FIRST DATA CORPORATION,FDUSUS55XXX
NATIONAL BANK OF ABU DHABI,NBADEGCAOBR
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2ATLN
NATIONAL BANK OF ABU DHABI,NBADEGCAPSD
BORSKY COMMERCIAL BANK,BOCRRU2BXXX
MASHREQ BANK,MSHQEGCACBG
NATIXIS,CCBPFRPP907
CREDIT SUISSE SECURITIES (JAPAN) LTD.,CSFBJPJXPBS
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL008
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCXASA
CHINATRUST BANK (USA),CTHCUS66XXX
LAFARGE SA,LAFAFRPPXXX
QATAR NATIONAL BANK,QNBAQAQAXXX
BANQUE MISR,BMISEGCX375
NATIONAL INVESTMENT BANK,NINBEGCAXXX
NATIONAL BANK OF OMAN (SAOG),NBOMEGCXCHO
BNP PARIBAS ARBITRAGE,BNABFRPPXXX
ARAB BANK PLC,ARABEGCXXXX
ROTHSCHILD AND CIE BANQUE,RCBPFRPRXXX
BNP PARIBAS FUND SERVICES SAS,BPASFRPPXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXZNB
EUROCLEAR FRANCE SA,ESESFRPPXXX
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCACOR
ARVEST BANK,ARVTUS44XXX
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX215
CAISSE D'EPARGNE DU LANGUEDOC ROUSSILLON,CEPAFRPP348
EULER HERMES SFAC CREDIT,EHSCFR2PXXX
ALLIANZ BANQUE S.A.,AGFBFRCCXXX
RBC DEXIA INVESTOR SERVICES BANK FRANCE,DISFFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44EIL
ARAB INTERNATIONAL BANK,ARIBEGCX007
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTXXX
CREDIT SUISSE (FRANCE)  PARIS,CRESFRPPXXX
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVXXXX
FIRST NATIONAL BANK,FNBOUS44KAN
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA040
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2ABZR
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL112
BANK OF CHINA,BKCHJPJTYHA
BLOM BANK EGYPT S.A.E.,MRBAEGCX014
TOTAL TREASURY,TTREFRPPXXX
QATAR FOUNDATION,QFQFQAQAXXX
ARAB BANK PLC,ARABEGCXGMH
THE 77 BANK LTD.,BOSSJPJTXXX
GFX CORPORATION,GFXCUS44XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX531
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44MOC
ARAB BANK PLC,ARABEGCXCAI
NOMURA SECURITIES CO.  LTD.,NMRSJPJTXXX
EGYPTIAN GULF BANK,EGGBEGCAAHG
AL KHALIJ COMMERCIAL BANK,KLJIQAQAXXX
FIRST COMMERCIAL BANK  LOS ANGELES BRANCH,FCBKUS66XXX
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKFRCCXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXNSR
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXMRG
THE SENSHU IKEDA BANK  LTD.,BIKEJPJSXXX
FIRST NATIONAL BANK,FNAOUS44XXX
AHLI BANK Q.S.C.,ABQQQAQADNB
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44MFD
EGYPTIAN ARAB LAND BANK,ARLBEGCAISM
FIRST NATIONAL BANK,FNBOUS44GRE
OGAKI KYORITSU BANK LTD. THE,OGAKJPJTXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44ACC
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL012
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA086
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44HLD
BRED GESTION,BRGEFRPPXXX
ARAB BANKING CORPORATION EGYPT,EAABEGCX011
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCX001
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA097
EGYPTIAN GULF BANK,EGGBEGCACAI
FIRST NATIONAL BANK,FNBOUS44XXX
FIRST TENNESSEE BANK N.A.,FTBMUS44SEC
BANQUE DE L'EUROPE MERIDIONALE SA,BEMOFRPPXXX
JPMORGAN CHASE BANK  N.A.,CHASFRPPGMO
VINCI CONSTRUCTION FRANCE,VCFRFRPPXXX
BALTIC INTERNATIONAL BANK,BLIBLV22XXX
BNP PARIBAS ARBITRAGE,BNABFRPPTRE
OSEO GARANTIE,SFGFFRCPXXX
BANK OF CHINA (ELUOSI),BKCHRUMMXXX
CPR ASSET MANAGEMENT,CPRMFRPPXXX
ALOSTAR BANK OF COMMERCE,ALOEUS44XXX
CORPORATE FINANCE BANK,FABARUMMXXX
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXKLI
BANQUE COURTOIS S.A.,COURFR2TXXX
LA BANQUE POSTALE,PSSTFRPPBTE
OSEO FINANCEMENT,CPMEFRPPXXX
CHARLES SCHWAB GLOBAL SERVICES CORP.,CSFXUS6SXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXSUE
HSBC FRANCE,CCFRFRPP260
NATIXIS,CCBPFRPP931
ARAB INVESTMENT BANK,AINBEGCAGIZ
BANCO ESTADO DE CHILE NEW YORK BRANCH.,BECHUS33XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL078
LA BANQUE POSTALE,PSSTFRPPNCY
SWEDBANK AS (FORMERLY A/S HANSABANKA),HABALV22XXX
BANQUE POPULAIRE DES ALPES,CCBPFRPPGRE
BNP PARIBAS SECURITIES SERVICES,PARBFRPHXXX
BANQUE POPULAIRE LORRAINE CHAMPAGNE,CCBPFRPPMTZ
BANQUE MISR,BMISEGCX413
UNITED BROKERAGE CORPORATION,UBCEEGCAXXX
BANK OF CHINA,BKCHVNVXXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX314
CORTAL CONSORS FRANCE,BCRTFRPPXXX
AFFINE SA,AFFIFRPPXXX
PROCAPITAL SA,PROCFRPPXXX
CITIGROUP GLOBAL MARKETS JAPAN INC.,NSBLJPJTXXX
KBC BANK NV PARIS,KREDFRPPXXX
PAREL,PAREFRPPXXX
TOTAL CAPITAL,TOCAFRPPXXX
D.I.M.O. GESTION,DIMOFR22XXX
BANQUE DE GESTION PRIVEE-SIB,SIBLFRPPXXX
QATAR ISLAMIC BANK,QISBQAQAXXX
BANK OF IWATE LTD.  THE,BAIWJPJTXXX
VINCI ENERGIES,VESAFR22XXX
BNP PARIBAS  DOHA,BNPAQAQAXXX
BANQUE POPULAIRE RIVES DE PARIS,CCBPFRPPMTG
CAISSE D'EPARGNE DE LOIRE DROME ARDECHE,CEPAFRPP426
QATAR FIRST INVESTMENT BANK,QFIBQAQAXXX
ADMIRALTEISKY CB LTD,COAYRUMMXXX
DERZHAVA JSCB,DERZRUMMXXX
EGYPTION EMIRATIES BROKERAGE,EEBCEGCAXXX
EUROCLEAR FRANCE,ECLNFRPPXXX
COMPAGNIE DE SAINT-GOBAIN,SGOBFRPPXXX
ASSOCIATED FOREIGN EXCHANGE  INC,AFEIUS6LXXX
CB GENBANK OOO,GEOORUMMXXX
FIRST AMERICAN BANK,FAMBUS44XXX
SHINHAN BANK JAPAN,SHBKJPJXTOK
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44FSL
NATIONAL POST ORGANIZATION,PSTEEGCXXXX
BANCO DO BRASIL S.A,BRASUS3MXXX
NATIXIS INTEREPARGNE,CCBPFRPPNIE
CAIXA GERAL DE DEPOSITOS,CGDIFRPPXXX
BANK LEUMI USA,LUMIUS3NMIA
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33MX3
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33MX4
FINANCIERE D'UZES,UZESFRCPXXX
BANK OF JAPAN,BOJPJPJTBJ1
BANK URAL FD,JSCORU4PMSK
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX025
EUROCLEAR FRANCE SA,ESESFRPPLE2
SUMITOMO TRUST AND BANKING COMPANY  LTD.  THE,STBCJPJTCUS
BANK OF ALEXANDRIA S A E,ALEXEGCX003
NATIONAL BANK OF ABU DHABI,NBADEGCATNT
ARAB BANKING CORPORATION EGYPT,EAABEGCX007
BANCO ESPIRITO SANTO,BESCUS33XXX
GOLDEN BANK  N.A.,TFNBUS4HXXX
ALMAZERGIENBANK,ALMZRU8YXXX
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAAZA
FROST BANK,FRSTUS44XXX
BLOM BANK QATAR LLC,BLOMQAQAXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCAMAN
ARAB BANK PLC,ARABEGCXMDI
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAMRG
GENERAL ELECTRIC COMPANY,GENEUS33XXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXAZH
BANCO INTERNACIONAL DE COSTA RICA  MIAMI AGENCY,COSRUS3MXXX
ELECTRICITE DE FRANCE,EDFGFRPPBBF
PREMIERE SECURITIES,PRSREGCAXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXMAI
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCA0A5
MASHREQ BANK,MSHQEGCAXXX
NATIXIS,NATXFRPPMAR
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCA0A6
FIRST NIAGARA BANK,FNFGUS33XXX
CENTROKREDIT BANK,CKBBRUMMXXX
CHARLES SCHWAB AND CO.  INC.,CSCHUS6SPFX
FIRST NATIONAL BANK,FNBOUS44PLA
BANK OF YOKOHAMA  LTD.  THE,HAMAJPJTXXX
SUMITOMO MITSUI BANKING CORPORATION,SMBCJPJTXXX
ALLY FINANCIAL INC,ALYIUS33SER
CENTRE ASSET MANAGEMENT  LLC,CESAUS33XXX
CHELINDBANK,CHLBRU4CRUR
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX160
DOHA BANK,DOHBQAQAWBB
HSBC BANK PLC,MIDLFRCP222
LEADERS,LEADEGCAXXX
ARAB BANK PLC,ARABEGCXMKT
EUROPEAN FUND ADMINISTRATION FRANCE S.A.S,EFALFRPPEQY
GOLDMAN SACHS BANK USA (FORMERLY THE GOLDMAN SACHS TRUST COMPANY),GSTRUS33XXX
CALYON (FORMERLY CREDIT LYONNAIS RUSBANK),CRLYRU2PXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL005
BARCLAYS BANK PLC,BARCJPJ2MFX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXTWN
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CTI
DEXIA ASSET MANAGEMENT,DXAMFRPPXXX
MCSD MISR FOR CLEARING DEPOSITORY AND REGISTRY,MCSDEGCAIPF
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTHIR
AS DNB NORD BANKA,RIKOLV2XXXX
CISCO SYSTEMS INC,CSCOUS66XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX551
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44KGO
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA088
DONINVEST COMMERCIAL BANK,DOCORU2RXXX
BOISSIERE FINANCE,SCHNFR22XXX
CRCMM DE BRETAGNE NORMANDIE,CCBPFRPP149
EUROPE ARAB BANK PLC,ARABFRPPXXX
BANK OF SAGA  LTD.  THE,BKSGJPJTSAG
COMMONWEALTH BANK OF AUSTRALIA HO CHI MINH CITY,CTBAVNVXXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL087
FIFTH THIRD BANK,FTBCUS3CXXX
LA BANQUE POSTALE,PSSTFRPPREN
ARAB INVESTMENT BANK,AINBEGCAZMK
EURONEXT PARIS S.A.,XPARFRPPINT
MISR IRAN DEVELOPMENT BANK,MIDBEGCXOCT
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXGCT
CHUGOKU BANK  LTD.  THE,CHGKJPJTXXX
EASTBRIDGE BANK,EBRIRUMMXXX
ELECTRICITE DE FRANCE,EDFGFRPPSCA
AHLI BANK Q.S.C.,ABQQQAQAXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL030
OITA BANK  LTD.  THE,OITAJPJTXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX625
BANQUE POPULAIRE DU MASSIF CENTRAL,CCBPFRPPCFD
BANQUE BCP,BPSMFRPPXXX
AREVA SA,AREVFRPPXXX
EXPORT DEVELOPMENT BANK OF EGYPT,EXDEEGCXRSH
MEGA INVESTMENTS SECURITIES,MISHEGCAXXX
MONABANQ.,MONNFR22XXX
THE ROYAL BANK OF SCOTLAND PLC PARIS BRANCH,RBOSFRPPXXX
ARAB BANK PLC,ARABEGCXNSA
COMMERZBANK AG TOKYO,COBAJPJXXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CDP
SHINHAN BANK JAPAN,SHBKJPJXXXX
ARAB INVESTMENT BANK,AINBEGCAXXX
FIRST PLACE BANK,FPBSUS33XXX
EUROCLEAR FRANCE,SICVFRPPAF2
FAR EAST NATIONAL BANK  HO CHI MINH CITY BRANCH,FENBVNVXXXX
ARAB INVESTMENT BANK,AINBEGCAALI
TOHO BANK  LTD.  THE,TOHOJPJTXXX
