bank,city,branch,swiftcode
CAISSE D'EPARGNE ILE DE FRANCE NORD,CERGY PONTOISE,,CEPAFRPP952
FINANCIAL BROKERAGE GROUP (FBG),CAIRO,,EFGHEGCAXXX
CENTRAL COMMERCIAL BANK,MOSCOW,,CBBCRUMMXXX
COMMERCIAL BANK -LANTA-BANK',MOSCOW,,COLKRUMMXXX
AS LTB BANK,RIGA,,LATCLV22XXX
SWEDBANK AS (FORMERLY A/S HANSABANKA),RIGA,,HABALV22XXX
ALGERIA GULF BANK,ALGIERS,,AGUBDZALXXX
HSBC BANK (VIETNAM) LTD.,HANOI,(HANOI BRANCH),HSBCVNVXVHN
AFFINE SA,PARIS,,AFFIFRPPXXX
SUEZ CANAL BANK,CAIRO,(MAADI BRANCH),SUCAEGCXMAD
NATIONAL SOCIETE GENERALE BANK S.A.E.,CAIRO,,NSGBEGCXXXX
DEUTSCHE BANK OOO,MOSCOW,,DEUTRUMMXXX
UNION NATIONAL BANK-EGYPT S.A.E.,CAIRO,(NASR CITY BRANCH),ALECEGALNCT
UNION NATIONAL BANK-EGYPT S.A.E.,ALEXANDRIA,(EL HORREYA BRANCH),ALECEGALMAI
ARAB INVESTMENT BANK,CAIRO,(MAADI BRANCH),AINBEGCAMAD
FIRST NATIONAL BANK,"OMAHA,NE",(WEALTH MANAGEMENT GROUP),FNBOUS44WMG
BANQUE MISR,CAIRO,(NIL REGION),BMISEGCXNIL
NATIXIS,LILLE,,CCBPFRPP924
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(GOLF BRANCH),ARAIEGCXGLF
ROYAL BANK OF SCOTLAND PLC (FORMER ABN AMRO BANK N.V.),TOKYO,"(GLOBAL TRANSACTION SERVICES, TOKYO BRANCH )",ABNAJPJTXXX
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,"NEW YORK,NY",,ANZBUS33XXX
"FIRST MICROFINANCE BANK LTD., THE",KABUL,,FMFBAFKAXXX
SUEZ CANAL BANK,ASSUIT,(ASSUIT BRANCH),SUCAEGCXASU
NATIXIS,CERGY PONTOISE,,CCBPFRPP905
CAISSE D'EPARGNE RHONE ALPES,LYON,,CEPAFRPP382
MASHREQ BANK,CAIRO,(CORPORATE BANK),MSHQEGCACBG
SCHRODER INVESTMENT MANAGEMENT (JAPAN) LIMITED,TOKYO,,SIMJJPJTXXX
CALYON,HANOI,,CRLYVNVXXXX
TOTAL CAPITAL,PARIS,,TOCAFRPPXXX
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,PARIS,,BACPFRPPAMS
FIFTH THIRD BANK,"CINCINNATI,OH",(CUSTODY DEPARTMENT),FTBCUS3CCUS
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,CAIRO,(HEAD OFFICE - EL GALAA BUILDING),DIBBEGCAXXX
BANQUE DE DEVELOPPEMENT LOCAL,ALGIERS,,BDLODZALXXX
BANCFIRST,"OKLAHOMA CITY,OK",,BFOKUS44XXX
HOUSING DEVELOPMENT COMMERCIAL J.S. BANK - HCMC,HANOI,(HDB - HANOI BRANCH ),HDBCVNVX008
BANK HAPOALIM B.M.,"NEW YORK,NY",,POALUS33XXX
SG ASSET MANAGEMENT,PARIS,,SGAMFRPPNEG
BNP PARIBAS ARBITRAGE,PARIS,,BNABFRPPTRE
FIRST NIAGARA BANK,"BUFFALO,NY",,FNFGUS33XXX
ARAB BANK PLC,CAIRO,(MAADI BRANCH),ARABEGCXMDI
"OGAKI KYORITSU BANK,LTD.,THE",OGAKI,,OGAKJPJTXXX
"NATIONAL BANK OF KUWAIT (INTERNATIONAL) PLC, PARIS BRANCH",PARIS,,NBOKFRPPXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI,(TRANSACTION CENTER NO.3),BIDVVNVX160
SOCIETE MARSEILLAISE DE CREDIT,MARSEILLE,,SMCTFR2AMAR
"THE NOMURA TRUST AND BANKING CO., LTD.",TOKYO,,NMTBJPJTDAM
AMI-BANK ZAO,MOSCOW,,CLJARUMMXXX
BANQUE EXTERIEURE D'ALGERIE,ANNABA,(AGENCE ANNABA REVOLUTION),BEXADZAL042
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE GUEVARA),BEXADZAL010
BARWA BANK,DOHA,,BRWAQAQAXXX
CREDIT EUROPE BANK LTD,MOSCOW,,FMOSRUMMXXX
HSBC FRANCE,NICE,,CCFRFRPP220
"BANGKOK BANK PUBLIC COMPANY LIMITED, NEW YORK","NEW YORK,NY",,BKKBUS33XXX
NILEONE BROKERS,GIZA,,NIBOEGCAXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,VUNG TAU,(VUNG TAU BRANCH),BIDVVNVX760
COSMO SECURITIES CO. LTD.,TOKYO,,COSSJPJTXXX
RASGAS COMPANY LIMITED,DOHA,,RLNGQAQAXXX
FIDELITY SERVICE CO,"BOSTON,MA",(FMR CORPORATE TREASURY),FIDQUS3BTRE
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, LIMITED",DOHA,,ICBKQAQAXXX
BANQUE POPULAIRE LOIRE ET LYONNAIS,LYON,,CCBPFRPPLYO
ADP GLOBAL PROXY SERVICES,"EDGEWOOD,NY",,ADPGUS33XXX
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(CAIRO BRANCH),ARAIEGCXCAI
BANQUE MISR,CAIRO,(KASR EL AINI BRANCH),BMISEGCX381
EXPORT DEVELOPMENT BANK OF EGYPT,ALEXANDRIA,(SELSELA BRANCH),EXDEEGCXALX
BALTINVESTBANK OAO,ST. PETERSBURG,,UNEBRU2PXXX
"SHONAI BANK, LTD., THE",TOKYO,,SNAIJPJTXXX
EXPORT DEVELOPMENT BANK OF EGYPT,CAIRO,(HEAD OFFICE),EXDEEGCXHED
EUROAXIS BANK JOINT STOCK COMMERCIAL BANK,MOSCOW,,EABMRUMMXXX
STANDARD CHARTERED BANK,TOKYO,,SCBLJPJTXXX
FREDDIE MAC,"MCLEAN,VA",,FMACUS3WXXX
ALEKSANDROVSKY BANK,ST. PETERSBURG,,ITEHRU2PXXX
EUROCLEAR FRANCE,PARIS,,SICVFRPPEF1
BM SOFTWARE,NICE,,BMSOFR22XXX
BSI-IFABANQUE SA,PARIS,,IFABFRPPXXX
BANK LEUMI USA,"LOS ANGELES,CA",,LUMIUS3NLAX
NATIXIS,PARIS,,CCBPFRPP888
CIBC WORLD MARKETS (JAPAN) INC.,TOKYO,,CIWMJPJTXXX
EUROCLEAR FRANCE,PARIS,,SICVFRPPXXX
HSBC FRANCE,PARIS,,CCFRFRPPSWT
SUMITOMO MITSUI BANKING CORPORATION,TOKYO,,SMBCJPJTCST
BANQUE REVILLON,PARIS,,REVIFRPPXXX
SUEZ CANAL BANK,CAIRO,(DOKKI BRANCH),SUCAEGCXDOK
CALYON (FORMERLY CREDIT LYONNAIS RUSBANK),MOSCOW,,CRLYRU2PL23
BANK OF KHANTY-MANSIYSK OAO,SOVETSK,(SOVETSKIY BRANCH),KHANRUMM002
BANQUE DU MAGHREB ARABE POUR L'INVESTISSEMENT ET LE COMMERCE,ALGIERS,,BMICDZALXXX
FLUOR CORPORATION,"IRVING,TX",,FLURUS44XXX
AMB BANK JSC,MOSCOW,,RBKBRUMMXXX
EGYPTIAN ARAB LAND BANK,ASWAN,,ARLBEGCAASW
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,GIA LAI,(GIA LAI BRANCH),BIDVVNVX620
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,PARIS,,BACPFRPPOTC
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(HELIOPOLIS ISLAMIC BRANCH),NBDEEGCXHLI
SOCIETE ARABE INTERNATIONALE DE BANQUE,CAIRO,,SBNKEGCXXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,DONG THAP,(DONG THAP BRANCH),BIDVVNVX691
SOCIETE ARABE INTERNATIONALE DE BANQUE,6TH OF OCTOBER,(6TH OF OCTOBER BRANCH),SBNKEGCXOCT
"BANK POLSKA KASA OPIEKI S.A., SUCCURSALE DE PARIS",PARIS,,PKOPFRPPXXX
FIRST NATIONAL BANK,"OVERLAND PARK,KS",(INTERNATIONAL TRADE SERVICES OFFICE),FNBOUS44KAN
DEUTSCHE ASSET MANAGEMENT(JAPAN)LTD,TOKYO,,DEAMJPJTXXX
NATIXIS,PARIS,,CCBPFRPPPAR
BANQUE AL-BARAKA D'ALGERIE,ALGIERS,,BRKADZALXXX
COMMONWEALTH BANK OF AUSTRALIA HO CHI MINH CITY,HO CHI MINH CITY,,CTBAVNVXXXX
EXPRESS-CREDIT BANK,MOSCOW,,EXCBRUMMXXX
BNP PARIBAS ARBITRAGE,PARIS,,BNABFRPPXXX
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",,GOLDUS33CLS
AMUNDI ASSET MANAGEMENT,PARIS,,AGRIFRPIXXX
BANQUE MARTIN-MAUREL,MARSEILLE,,BMMMFR2AXXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,AN GIANG,(AN GIANG BRANCH),BFTVVNVX015
ROYAL BANK OF CANADA,TOKYO,,ROYCJPJTXXX
AS DNB NORD BANKA,RIGA,,RIKOLV2XXXX
LA BANQUE POSTALE ASSET MANAGEMENT,PARIS,,LBGAFRPPXXX
OSEO FINANCEMENT,MAISONS ALFORT,,CPMEFRPPXXX
SAMBA FINANCIAL GROUP,DOHA,,SAMBQAQAXXX
UNION TUNISIENNE DE BANQUES,PARIS,,UTUBFRPPPYR
BANK MOSKVA,MOSCOW,,RJSCRUMMXXX
"GALLIARD CAPITAL MANAGEMENT, INC","MINNEAPOLIS,MN",,WFBIUS44XXX
ALLY FINANCIAL INC,"CHARLOTTE,NC",(QUANTUM),ALYIUS33QTM
CAISSE D'EPARGNE DE LOIRE DROME ARDECHE,SAINT ETIENNE,,CEPAFRPP426
STATE STREET TRUST AND BANKING COMPANY LIMITED,TOKYO,(INVESTMENT TRUST MGMT PRICING AGENT OUTSOURCING),SSTBJPJXITM
JASON INFORMATIQUE,SAINT PAPOUL,,JASOFR2PXXX
LOMBARD ODIER DARIER HENTSCH AND CIE (FRANCE) SA,PARIS,,LOCYFRPPNDP
BANQUE MISR,CAIRO,,BMISEGCX155
CITIBANK N.A.,HO CHI MINH CITY,(HO CHIH MIN CITY BRANCH),CITIVNVXHCM
BNP PARIBAS ARBITRAGE,PARIS,,BNABFRPPPRE
STATE BANK OF INDIA,OSAKA,(OSAKA BRANCH),SBINJPJTOSA
"CAPITAL ONE,N.A.","NEW ORLEANS,LA",,HIBKUS44XXX
ASSOCIATED BANK GREEN BAY N.A.,"GREEN BAY,WI",,ABGBUS44XXX
FAR EASTERN COMMERCIAL BANK OAO,KHABAROVSK,,FAECRU8KXXX
NATIONAL BANK OF ABU DHABI,CAIRO,,NBADEGCAXXX
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(BOOK ENTRY SYSTEM),CBEGEGCXBES
BNP PARIBAS LE CAIRE,CAIRO,(HELIOPOLIS BRANCH),BNPAEGCXHEL
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44ACI
"JPMORGAN CHASE BANK, N.A.",PARIS,,CHASFRPPPCG
AHLI UNITED BANK (EGYPT) S.A.E.,CAIRO,(HELIOPOLIS BRANCH),DEIBEGCX032
CREDIT FONCIER DE FRANCE,PARIS,,CFFRFRPPSSS
"SHIMIZU BANK LTD., THE",SHIZUOKA,,SMZGJPJTXXX
DEAL-BANK OOO,MOSCOW,,DEOORUMMXXX
GENERAL ELECTRIC COMPANY,"FAIRFIELD,CT",,GENEUS33XXX
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",,GOLDUS33003
"BANCO DE LA NACION ARGENTINA, MIAMI BRANCH","MIAMI,FL",,NACNUS3MXXX
DEXIA CREDIT LOCAL,PARIS,,CLFRFRCCXXX
CITIBANK CAIRO,ALEXANDRIA,,CITIEGCXALE
ARABEYA ON LINE,CAIRO,,AOLBEGCAXXX
CREDIT FONCIER DE FRANCE,PARIS,,CFFRFRPPXXX
EUROPEAN FUND ADMINISTRATION FRANCE S.A.S,PARIS,,EFALFRPPACC
AHLI UNITED BANK (EGYPT) S.A.E.,SUEZ,(SUEZ BRANCH),DEIBEGCX613
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44FDL
EURONEXT PARIS S.A.,PARIS,,XPARFRPPTRS
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,SHIBIN EL KOM,(MONOFILA BRANCH),BDACEGCA048
"THE NOMURA TRUST AND BANKING CO., LTD.",TOKYO,,NMTBJPJTXXX
"THE NOMURA TRUST AND BANKING CO., LTD.",TOKYO,(TRUST DEPARTMENT),NMTBJPJTTRU
EGYPTIAN ARAB LAND BANK,MATROUH,,ARLBEGCAMAT
"GOLDMAN SACHS MITSUI MARINE DERIVATIVE PRODUCTS, L.P.","NEW YORK,NY",,GSMMUS33XXX
AGROIMPULS JOINT STOCK COMMERCIAL BANK,VORONEZH,,JSCGRU2VXXX
BARCLAYS BANK - EGYPT S.A.E.,CAIRO,(NASR CITY BRANCH),BCBIEGCX004
AL SALAM BANK ALGERIA,ALGIERS,,SALGDZALXXX
"BANK OF AMERICA, N.A.","CHARLOTTE,NC",(BANK OF AMERICA SINGAPORE LIMITED),BOFAUS3DSG2
"BANK OF IWATE LTD., THE",MORIOKA,,BAIWJPJTXXX
FIDUCIARY TRUST COMPANY INTERNATIONAL,"NEW YORK,NY",(TMS),FCNYUS33TMX
BALTIK DEVELOPMENT BANK,MOSCOW,,BADJRUMMXXX
BANQUE EXTERIEURE D'ALGERIE,GUELMA,(AGENCE GUELMA),BEXADZAL055
CIBC ALLIANCE GROUP,MOSCOW,,CIBGRUMMXXX
RABOBANK SUCCURSALE DE PARIS,PARIS,,RABOFRPPXXX
CNP ASSURANCES,PARIS,,CNPAFRPPXXX
FAISAL ISLAMIC BANK OF EGYPT,CAIRO,(GHAMRA BRANCH),FIEGEGCXGHM
CAISSE D'EPARGNE DE LORRAINE,METZ,,CEPAFRPP545
FIRST GULF BANK QATAR FINANCIAL CENTRE,DOHA,,FGBMQAQAXXX
CREDIT AGRICOLE SECURITIES ASIA B.V.,TOKYO,,CRLYJPJ9XXX
"SAIKYO BANK LTD., THE",SHUNAN,,SAKBJPJZXXX
BANK OF KHANTY-MANSIYSK OAO,PYT-YAH,(PYT'-YAH BRANCH),KHANRUMM009
BANQUE EXTERIEURE D'ALGERIE,ARZEW,(AGENCE ARZEW LES JARDINS),BEXADZAL078
FIRST TENNESSEE BANK N.A.,"KNOXVILLE,TN",,FTBMUS44KXV
ASHIKAGA BANK,UTSUNOMIYA,,ASIKJPJTXXX
ALWATANY BANK OF EGYPT,EL MANSOURA,(MANSOURA BRANCH),WABAEGCXMNS
FIRST NATIONAL BANK,"BOULDER,CO",(INTERNATIONAL TRADE SERVICES OFFICE),FNBOUS44BOL
EUROCLEAR FRANCE SA,PARIS,,ESESFRPPLE1
"HUA NAN COMMERCIAL BANK, LTD. HOCHIMINH CITY BRANCH",HO CHI MINH CITY,,HNBKVNVXXXX
DEVELOPMENT CAPITAL BANK,MOSCOW,,VIZIRUMMXXX
SINOPIA ASSET MANAGEMENT,PARIS,,SAMFFRPPXXX
"BANK OF CHINA, PARIS BRANCH",PARIS,,BKCHFRPPXXX
BANQUE DE GESTION PRIVEE-SIB,PARIS,,SIBLFRPPXXX
CANTOR FITZGERALD AND CO.,"NEW YORK,NY",(BGC FINANCIAL LP),CANFUS33FIN
DOLINSK BANK,YUZHNO-SAKHALINSK,,DOLIRU8YXXX
BANQUE POPULAIRE DU NORD,MARCQ EN BAROEUL,,CCBPFRPPLIL
CREDIT MUTUEL,STRASBOURG,,CMCIFR2AXXX
MISR IRAN DEVELOPMENT BANK,6TH OF OCTOBER,(6TH OF OCTOBER BRANCH),MIDBEGCXOCT
NATIXIS,PARIS,,CCBPFRPPPAI
ALWATANY BANK OF EGYPT,GIZA,(ALGALAA BRANCH),WABAEGCXGAL
BANQUE PELLETIER,DAX,,BPELFR2YXXX
DORIS BANK,MOSCOW,,DORIRUMMXXX
SUEZ CANAL BANK,CAIRO,(CAIRO BRANCH),SUCAEGCXCAI
FIRST NATIONAL BANK,"OMAHA,NE",(TRADE SERVICES),FNBOUS44TCX
BLOM BANK EGYPT S.A.E.,MAADI,(MAADI),MRBAEGCX010
NATIONAL BANK FOR DEVELOPMENT,ALEXANDRIA,(ALEXANDRIA BRANCH),NBDEEGCXALX
CAISSE D'EPARGNE DE POITOU CHARENTES,POITIERS,,CEPAFRPP864
AHLI BANK Q.S.C.,DOHA,(AIRPORT BRANCH),ABQQQAQAAIR
SG ASSET MANAGEMENT,PARIS,,SGAMFRPPXXX
CAISSE D'EPARGNE DE PICARDIE,AMIENS,,CEPAFRPP802
COMPAGNIE DE FINANCEMENT FONCIER,PARIS,,CFFOFRPPSSS
BANK CAPITAL-MOSCOW,MOSCOW,,CAIWRUMMXXX
"BANCO INTERNACIONAL DE COSTA RICA, MIAMI AGENCY","CORAL GABLES,FL",,COSRUS3MXXX
LA BANQUE POSTALE,LYON,,PSSTFRPPLYO
EKATERININSKIJ APB OAO,MOSCOW,,EKATRUMMXXX
EGYPTIAN ARAB LAND BANK,HURGHADA,,ARLBEGCAHRG
EUROCLEAR FRANCE SA,PARIS,,ESESFRPPINT
ALTICOR INC,"ADA,MI",,AMWYUS33XXX
EXANE S.A.,PARIS,,EXANFRPPSAM
KEPLER CAPITAL MARKETS,PARIS,,JBBRFRPPXXX
ARAB BANK PLC,DOHA,(ALSADD BRANCH),ARABQAQASAD
CAISSE D'EPARGNE DE MIDI PYRENEES,TOULOUSE,,CEPAFRPP313
CREDIT SUISSE SECURITIES (JAPAN) LTD.,TOKYO,(TOKYO BRANCH),CSFBJPJXPBS
FROST BANK,"SAN ANTONIO,TX",,FRSTUS44XXX
ART-BANK,VLADIKAVKAZ,,ARTBRU3VXXX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(ZERALDA),BEXADZAL100
CROCUSBANK,MOSCOW,,CROKRUMMXXX
BANCO ITAU EUROPA INTERNATIONAL,"MIAMI,FL",,ITAUUS3MXXX
AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP,"NEW YORK,NY",,AGIGUS33XXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44KGT
"OVERSEA-CHINESE BANKING CORPORATION LIMITED, TOKYO BRANCH",TOKYO,,OCBCJPJTXXX
EGYPTIAN GULF BANK,CAIRO,(SPORTING CLUB),EGGBEGCAHSC
NATIXIS,RUNGIS,,CCBPFRPP902
BANK OF CHINA,NAGOYA,,BKCHJPJTNGY
DOHA BANK,DOHA,(WEST BAY BRANCH),DOHBQAQAWBB
BAIN AND COMPANY INC,"BOSTON,MA",,BAOYUS33XXX
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",NAGOYA,,BOTKJPJTNGY
RIETUMU BANKA,RIGA,,RTMBLV2XXXX
BANQUE PRIVEE 1818,PARIS,,CCBPFRPPBPS
DUBUS S.A.,LILLE,,DUBUFR2LTRO
EGYPTIAN GULF BANK,CAIRO,(EL AHALY SPORTING CLUB NASR CITY BRANCH),EGGBEGCAAHN
LA BANQUE POSTALE,PARIS,,PSSTFRPPSDR
BANK URAL FD,MOSCOW,(MOSCOW BRANCH),JSCORU4PMSK
ARAB BANKING CORPORATION EGYPT,ALEXANDRIA,(ALEXANDRIA BRANCH),EAABEGCX010
UNION TUNISIENNE DE BANQUES,PARIS,,UTUBFRPPBEL
BALTIYSKIY BANK,MOSCOW,,BABJRU2PXXX
LA BANQUE POSTALE,DIJON,,PSSTFRPPDIJ
NATIONAL BANK OF ABU DHABI,CAIRO,(CHOUIFAT BRANCH),NBADEGCACHF
ALFA-BANK,MOSCOW,,ALFARUMMXXX
LA BANQUE POSTALE,PARIS,,PSSTFRPPCAY
FIRST INTERCONTINENTAL BANK,"DORAVILLE,GA",,FIEBUS3AXXX
EURONEXT PARIS S.A.,PARIS,,XPARFRPPXXX
HSBC FRANCE,GRENOBLE,,CCFRFRPP280
BAKHTAR BANK,KABUL,,BKRBAFKAXXX
FSA ASSET MANAGEMENT LLC,"NEW YORK,NY",,FSAMUS33XXX
ALIAA STOCK BROKERAGE HOUSE,CAIRO,,ALIAEGCAXXX
BOURSORAMA,BOULOGNE BILLANCOURT,,BOUSFRPPXXX
"TOHO BANK, LTD., THE",FUKUSHIMA,,TOHOJPJTXXX
ADMIRALTEISKY CB LTD,MOSCOW,,COAYRUMMXXX
EGYPTIAN SAUDI FINANCE BANK,CAIRO,(AKKAD BRANCH),TAMSEGCAAKD
"CENTRE ASSET MANAGEMENT, LLC","NEW YORK,NY",,CESAUS33XXX
ECONOMIC GROUP,GIZA,,ECGPEGCAXXX
EGYPTIAN SAUDI FINANCE BANK,GIZA,(DOKKI BRANCH),TAMSEGCADOK
HSBC FRANCE,DIJON,,CCFRFRPP320
NATIXIS,PARIS,,CCBPFRPPTSY
BANK OF CHINA (ELUOSI),MOSCOW,,BKCHRUMMXXX
"BNP PARIBAS ZAO, MOSCOW",MOSCOW,,BNPARUMMXXX
BANQUE DELUBAC ET CIE,LE CHEYLARD,,DELUFR22XXX
FIRST NATIONAL BANK,"EDINBURG,TX",,FNAOUS44XXX
BANK OF KHANTY-MANSIYSK OAO,KHANTY-MANSIYSK,,KHANRUMMXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CD2
BLOM BANK QATAR LLC,DOHA,,BLOMQAQAXXX
FAISAL ISLAMIC BANK OF EGYPT,CAIRO,(HELIOPOLIS BRANCH),FIEGEGCXHEL
FRANCE TELECOM SA,PARIS,,FTELFRPPXXX
UNION TUNISIENNE DE BANQUES,PARIS,,UTUBFRPPXXX
SOCIETE ARABE INTERNATIONALE DE BANQUE,PORT SAID,(INVESTMENT),SBNKEGCXINV
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,ALEXANDRIA,,DIBBEGCA0AL
NTT DATA GETRONICS CORPORATION,KAWASAKI-SHI,,NTDGJPJTXXX
"BANCO DE BOGOTA, MIAMI AGENCY","MIAMI,FL",,BBOGUS3MXXX
ATB BANK,MOSCOW,,ATBTRUMMXXX
NATIONAL BANK OF ABU DHABI,SHARM EL SHEIKH,(SHARM EL SHEIKH BRANCH),NBADEGCASHK
"CHANG HWA COMMERCIAL BANK LTD., TOKYO BRANCH",TOKYO,,CCBCJPJTXXX
NATIONAL BANK OF ABU DHABI,ALEXANDRIA,(SAN STEFANO BRANCH),NBADEGCASTF
"LLOYDS TSB BANK PLC, PARIS",PARIS,,LOYDFRPPXXX
ARAB BANKING CORPORATION EGYPT,6TH OF OCTOBER,(6TH OF OCTOBER CITY BRANCH),EAABEGCX011
"NOMURA SECURITIES CO., LTD.",TOKYO,,NMRSJPJTXXX
OKAZ STOCK BROKERS AND INVESTMENT CONSULTANTS,CAIRO,,OSICEGCAXXX
THE HIGO BANK LIMITED,KUMAMOTO,,HIGOJPJTXXX
BANCO ESPIRITO SANTO,"NEW YORK,NY",,BESCUS33XXX
MISR IRAN DEVELOPMENT BANK,GIZA,(MOHADESEEN BRANCH),MIDBEGCXMHD
LABCO GESTION GIE,PARIS,,LAGEFRPPXXX
ARAB BANKING CORPORATION EGYPT,CAIRO,(ZAMALEK BRANCH),EAABEGCX008
BANQUE FEDERALE DES BANQUES POPULAIRES (BANQUES POPULAIRES REGIONALES),PARIS,,CCBPFRPPINS
EUROCLEAR FRANCE,PARIS,,ECLNFRPPXXX
BNP PARIBAS LE CAIRE,CAIRO,(DOKKI BRANCH),BNPAEGCXDOK
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",KITAKYUSYU,,BOTKJPJTSMO
TYCOON FOR SECURITIES,CAIRO,,TYCOEGCAXXX
FIRST JOINT STOCK COMMERCIAL BANK,HO CHI MINH CITY,,FJCBVNVXXXX
DEUTSCHE SECURITIES INC.,TOKYO,,DEUTJPJ9XXX
SOCIETE GENERALE PRIVATE BANKING (JAPAN) LTD.,TOKYO,,SGTBJPJTXXX
BANESCO USA,"CORAL GABLES,FL",,BBUBUS33XXX
BLOM BANK EGYPT S.A.E.,HURGHADA,(HURGHADA BRANCH),MRBAEGCX007
GENERAL ELECTRIC COMPANY,"STAMFORD,CT",,GENEUS33DBL
LA COMPAGNIE FINANCIERE ED. DE ROTHSCHILD BANQUE,PARIS,,COFIFRCPXXX
MTS FRANCE SAS,PARIS,,FMTSFRPPXXX
HSBC FRANCE,NANCY,,CCFRFRPP310
BANK OF KHANTY-MANSIYSK OAO,YUGORSK,(YUGORSK BRANCH),KHANRUMM006
HSBC FRANCE,LE HAVRE,,CCFRFRPP140
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI,(HA THANH BRANCH),BIDVVNVX122
IXIS ASSET MANAGEMENT,PARIS,,IXIAFRPPXXX
BANQUE MISR,CAIRO,,BMISEGCXXXX
ARVEST BANK,"TULSA,OK",,ARVTUS44XXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CH1
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",(GLOBAL CONTROL SWIFT),GOLDUS33GCS
ALLY FINANCIAL INC,"CHARLOTTE,NC",(ALLY FINANCIAL INC),ALYIUS33INC
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,(MAADI BRANCH),ARAIEGCXMAA
FAISAL ISLAMIC BANK OF EGYPT,CAIRO,(AL-AZHAR BRANCH),FIEGEGCXAZH
SOCIETE MARSEILLAISE DE CREDIT,AVIGNON,,SMCTFR2AAVI
SUEZ CANAL BANK,ISMAILIA,(ISMALIA BRANCH),SUCAEGCXISM
NATIONAL BANK OF ABU DHABI,DOMIAT,(DAMIETTA BRANCH),NBADEGCADMT
ISBANK GMBH,PARIS,,ISBKFRPPXXX
BANQUE MISR,CAIRO,(MOHAMED ROUSHDY BRANCH),BMISEGCX371
CENTRAL BANK OF EGYPT CAIRO,CAIRO,(SECURITIES DEPARTMENT),CBEGEGCXSMK
"BANQUE AIG, PARIS HEAD OFFICE",PARIS,,AIGAFRPPXXX
ENERGOMASHBANK PLC,ST. PETERSBURG,,ENEBRU2PXXX
ARAB BANK PLC,THE TENTH OF RAMADAN,(THE TENTH OF RAMADAN BRANCH),ARABEGCXRMD
EGYPTIAN ARAB LAND BANK,ALEXANDRIA,(ALEXANDRIA BRANCH),ARLBEGCAALX
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(BARAKI),BEXADZAL089
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,KON TUM,(KON TUM BRANCH),BIDVVNVX625
CNCE GESTITRES,IVRY-SUR-SEINE,,SDBFFRPPXXX
AREVA SA,PARIS,,AREVFRPPXXX
"BANQUE LEHMAN BROTHERS S.A., PARIS",PARIS,,SLBSFRPPXXX
"NORINCHUKIN BANK, THE",TOKYO,(TREASURY AND SECURITIES OPERATIONS DIVISION),NOCUJPJTCLS
FRANSABANK FRANCE S.A.,PARIS,,FRAFFRPPXXX
BNP PARIBAS VOSTOK,MOSCOW,,BNPARUMVXXX
"GOLDMAN, SACHS AND CO.","NEW YORK,NY",(GLOBAL SECURITIES SERVICES),GOLDUS33GSS
"BANK OF FUKUOKA, LTD., THE",TOKYO,,FKBKJPJTXXX
"SUMITOMO TRUST AND BANKING COMPANY, LTD., THE",TOKYO,(SECURITIES ADMINISTRATION DEPARTMENT),STBCJPJTSAD
